Origen,E02006825,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731,E02003732,E02003733,E02003734,E02003735,E02003736,E02003737,E02003738,E02003739,E02006873,E02003740,E02006874,E02003742,E02003743,E02006877,E02003744,E02006878,E02003745,E02003746,E02003747,E02003748,E02003749,E02003750,E02003751,E02003752,E02003753,E02003754,E02003755,E02003756,E02003237,E02003757,E02003238,E02003758,E02003239,E02003759,E02003240,E02003760,E02003241,E02003761,E02003242,E02003762,E02003243,E02003763,E02003244,E02003764,E02003245,E02003765,E02003246,E02003766,E02003247,E02003767,E02003248,E02003768,E02003249,E02003769,E02003250,E02003770,E02003251,E02003771,E02003252,E02003772,E02003253,E02003773,E02003254,E02003774,E02003775,E02003255,E02003776,E02003257,E02003777,E02003778,E02003779,E02003780,E02003781,E02003783,E02003784,E02003785,E02003786,E02003787,E02003788,E02003789,E02003790,E02003791,E02003792,E02003793
E02003753,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,5,5,29,3,60,4,6,54,9,36,3,7,8,331,64,20,28,12,12,20,10,18,6,8,4,17,2,16,3,25,4,18,4,43,2,36,2,20,3,32,2,37,4,22,0,11,1,33,1,41,7,30,2,0,66,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
E02003754,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,3,1,40,10,25,6,3,21,1,14,7,3,4,70,126,10,37,21,4,19,9,16,4,25,4,14,3,18,8,30,2,9,6,11,3,10,3,18,4,8,1,21,1,15,1,26,1,23,2,21,3,50,0,0,29,0,22,0,0,0,0,0,1,0,1,0,0,3,0,1,1,0,1
E02003755,1,0,0,1,1,1,3,1,0,0,2,0,1,0,1,7,1,4,3,2,1,0,1,0,2,2,1,8,4,7,4,17,31,9,45,7,23,32,30,19,471,21,2,145,2,85,4,14,1,17,2,6,5,17,6,29,1,15,2,13,12,17,2,9,10,22,6,7,11,8,3,2,13,6,2,5,4,3,2,11,2,5,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
E02003756,0,1,1,4,2,1,3,2,0,1,0,0,1,1,1,2,1,0,1,0,0,0,4,3,5,0,1,15,2,17,2,0,9,0,4,2,2,11,56,49,23,226,3,11,6,10,3,5,3,16,2,6,1,28,5,14,8,18,7,5,8,5,5,23,3,9,5,7,8,9,8,16,6,8,11,18,14,7,2,8,1,2,1,0,1,1,1,0,1,1,0,0,2,0,0,1,0,1
E02003237,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,2,11,1,1,12,0,8,0,0,5,15,1,1,2,98,1,34,0,39,1,25,0,25,0,24,0,20,0,12,0,8,0,11,0,10,0,10,2,8,0,8,0,7,0,11,1,11,0,14,0,0,18,0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
E02003757,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,3,1,2,1,1,0,0,0,1,1,2,1,0,8,2,2,5,2,11,3,4,14,4,4,82,10,0,120,2,39,0,17,1,11,1,17,0,20,0,20,0,15,1,15,0,13,0,6,1,15,0,0,0,6,0,1,1,5,4,2,1,2,3,1,0,1,0,0,0,1,1,0,1,2,0,0,0,2,0,1,0,0
E02003238,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,10,3,0,18,2,4,1,2,1,17,17,2,2,33,1,68,1,55,0,6,0,12,1,44,1,29,0,18,3,11,1,7,1,13,0,14,0,20,0,11,1,18,0,21,0,23,0,8,0,0,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E02003758,1,3,1,0,0,0,0,1,1,2,1,2,1,0,4,16,4,7,10,7,3,1,2,2,12,3,3,3,5,12,9,17,21,16,27,21,23,77,31,16,156,59,2,169,1,294,5,94,6,47,2,59,2,103,3,128,4,61,3,63,1,45,1,21,0,68,2,37,2,18,3,13,4,13,3,24,7,9,11,5,6,5,6,0,5,7,1,1,4,1,1,7,3,1,1,1,1,1
E02003239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,13,3,0,12,1,5,1,1,0,14,1,1,0,12,0,15,1,73,5,2,0,29,0,27,0,27,0,8,0,5,0,8,0,8,0,9,0,5,0,7,0,9,0,5,0,7,0,3,0,0,3,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E02003759,0,6,3,5,3,1,4,4,2,2,2,2,4,2,6,20,14,7,24,7,2,4,8,2,15,2,6,3,3,4,2,7,11,18,10,7,13,49,6,6,48,10,0,46,1,134,4,181,1,18,4,21,1,27,3,151,5,47,0,85,0,38,1,10,5,68,2,18,2,15,0,13,2,7,3,10,8,9,25,2,10,1,15,6,9,3,4,5,8,3,1,5,10,4,3,5,5,2
