MSOA11CD,MSOA11NM
E01015661,Peterborough 010D
E01015662,Peterborough 009C
E01015663,Peterborough 009D
E01015664,Peterborough 009E
E01015665,Peterborough 016C
E01015666,Peterborough 017D
E01015667,Peterborough 019A
E01015668,Peterborough 017E
E01015669,Peterborough 019B
E01015670,Peterborough 019C
E01015671,Peterborough 019D
E01015672,Peterborough 019E
E01015673,Peterborough 019F
E01015674,Peterborough 006A
E01015675,Peterborough 006B
E01015676,Peterborough 006C
E01015677,Peterborough 010E
E01015678,Peterborough 002A
E01015679,Peterborough 001D
E01015680,Peterborough 002B
E01015681,Peterborough 002C
E01015682,Peterborough 002D
E01015683,Peterborough 006D
E01015684,Peterborough 003D
E01015685,Peterborough 003E
E01015686,Peterborough 006E
E01015687,Peterborough 015B
E01015688,Peterborough 016D
E01015689,Peterborough 015C
E01015690,Peterborough 015D
E01015691,Peterborough 015E
E01015692,Peterborough 016E
E01017943,Cambridge 006A
E01017944,Cambridge 006B
E01017945,Cambridge 006C
E01017946,Cambridge 006D
E01017947,Cambridge 006E
E01017948,Cambridge 006F
E01017949,Cambridge 002A
E01017950,Cambridge 002B
E01017951,Cambridge 002C
E01017952,Cambridge 002D
E01017953,Cambridge 002E
E01017954,Cambridge 002F
E01017955,Cambridge 005A
E01017956,Cambridge 005B
E01017957,Cambridge 005C
E01017958,Cambridge 005D
E01017959,Cambridge 011A
E01017960,Cambridge 011B
E01017961,Cambridge 011C
E01017962,Cambridge 011D
E01017963,Cambridge 011E
E01017964,Cambridge 011F
E01017965,Cambridge 010A
E01017966,Cambridge 010B
E01017967,Cambridge 010C
E01017968,Cambridge 010D
E01017969,Cambridge 010E
E01017971,Cambridge 003B
E01017972,Cambridge 003C
E01017973,Cambridge 003D
E01017974,Cambridge 003E
E01017975,Cambridge 001A
E01017976,Cambridge 001B
E01017977,Cambridge 001C
E01017978,Cambridge 001D
E01017979,Cambridge 001E
E01017980,Cambridge 001F
E01017983,Cambridge 007C
E01017984,Cambridge 007D
E01017985,Cambridge 007E
E01017986,Cambridge 007F
E01017987,Cambridge 008A
E01017988,Cambridge 008B
E01017989,Cambridge 008C
E01017990,Cambridge 008D
E01017991,Cambridge 008E
E01017992,Cambridge 013A
E01017993,Cambridge 013B
E01017994,Cambridge 013C
E01017995,Cambridge 013D
E01017996,Cambridge 013E
E01017997,Cambridge 009A
E01017998,Cambridge 009B
E01017999,Cambridge 009C
E01018000,Cambridge 009D
E01018001,Cambridge 009E
E01018002,Cambridge 012A
E01018003,Cambridge 012B
E01018005,Cambridge 012D
E01018006,Cambridge 004A
E01018007,Cambridge 004B
E01018008,Cambridge 004C
E01018009,Cambridge 004D
E01018010,Cambridge 004E
E01018011,East Cambridgeshire 009A
E01018012,East Cambridgeshire 009B
E01018013,East Cambridgeshire 008A
E01018014,East Cambridgeshire 008B
E01018015,East Cambridgeshire 008C
E01018016,East Cambridgeshire 008D
E01018017,East Cambridgeshire 011A
E01018019,East Cambridgeshire 011B
E01018020,East Cambridgeshire 002A
E01018021,East Cambridgeshire 002B
E01018022,East Cambridgeshire 002C
E01018023,East Cambridgeshire 011C
E01018024,East Cambridgeshire 004A
E01018025,East Cambridgeshire 004B
E01018026,East Cambridgeshire 004C
E01033425,East Cambridgeshire 004F
E01018027,East Cambridgeshire 003A
E01033426,East Cambridgeshire 003F
E01018029,East Cambridgeshire 003C
E01033427,East Cambridgeshire 006G
E01018030,East Cambridgeshire 004D
E01033428,East Cambridgeshire 004G
E01018032,East Cambridgeshire 003D
E01033429,East Cambridgeshire 006H
E01018033,East Cambridgeshire 003E
E01033430,East Cambridgeshire 003G
E01018034,East Cambridgeshire 007A
E01018035,East Cambridgeshire 007B
E01018036,East Cambridgeshire 005A
E01033433,Huntingdonshire 010G
E01018037,East Cambridgeshire 005B
E01018038,East Cambridgeshire 005C
E01018039,East Cambridgeshire 005D
E01018040,East Cambridgeshire 007C
E01018041,East Cambridgeshire 007D
E01018042,East Cambridgeshire 001A
E01018043,East Cambridgeshire 001B
E01018044,East Cambridgeshire 001C
E01018045,East Cambridgeshire 001D
E01018046,East Cambridgeshire 001E
E01018047,East Cambridgeshire 006A
E01018049,East Cambridgeshire 006C
E01018050,East Cambridgeshire 006D
E01018051,East Cambridgeshire 006E
E01018052,East Cambridgeshire 006F
E01018053,East Cambridgeshire 005E
E01018054,East Cambridgeshire 005F
E01018055,East Cambridgeshire 002D
E01018056,East Cambridgeshire 002E
E01018057,East Cambridgeshire 009C
E01018058,Fenland 008A
E01018059,Fenland 008B
E01018060,Fenland 008C
E01018061,Fenland 008D
E01018062,Fenland 011A
E01018063,Fenland 002A
E01018131,Huntingdonshire 014A
E01018132,Huntingdonshire 014B
E01018133,Huntingdonshire 014C
E01018134,Huntingdonshire 014D
E01018135,Huntingdonshire 018A
E01018136,Huntingdonshire 018B
E01018137,Huntingdonshire 017D
E01018138,Huntingdonshire 012A
E01018139,Huntingdonshire 009A
E01018140,Huntingdonshire 009B
E01018141,Huntingdonshire 009C
E01018142,Huntingdonshire 009D
E01018143,Huntingdonshire 008A
E01018144,Huntingdonshire 008B
E01018145,Huntingdonshire 008C
E01018146,Huntingdonshire 008D
E01018147,Huntingdonshire 008E
E01018148,Huntingdonshire 012B
E01018149,Huntingdonshire 012C
E01018150,Huntingdonshire 012D
E01018151,Huntingdonshire 012E
E01018152,Huntingdonshire 015C
E01018153,Huntingdonshire 015D
E01018154,Huntingdonshire 018C
E01018155,Huntingdonshire 018D
E01018156,Huntingdonshire 003A
E01018157,Huntingdonshire 003B
E01018158,Huntingdonshire 003C
E01018159,Huntingdonshire 003D
